customer_id,customer_name,county,city,loyalty_tier,channel_preference,customer_type,signup_date
1,James Quinn,Kildare,Newbridge,Bronze,Online,Retail Customer,2021-02-15
2,Ella Smith,Galway,Galway,Bronze,Online,Retail Customer,2021-01-09
3,Isla Ryan,Kilkenny,Kilkenny,Bronze,Online,Retail Customer,2024-11-08
4,Ava Lynch,Dublin,Swords,Gold,Online,Retail Customer,2022-12-17
5,Mia Walsh,Waterford,Waterford,Gold,Online,Retail Customer,2021-04-15
6,Ciara Gallagher,Meath,Navan,Platinum,Online,Retail Customer,2024-05-08
7,Chloe Ryan,Kilkenny,Kilkenny,Platinum,Online,Distributor,2024-10-25
8,Ava Smith,Wicklow,Bray,Silver,Mixed,Retail Customer,2021-03-28
9,Finn Murray,Dublin,Tallaght,Silver,Mixed,Retail Customer,2024-02-24
10,Chloe Murphy,Wicklow,Wicklow,Bronze,Online,Retail Customer,2024-01-23
11,Amelia Murphy,Dublin,Swords,Bronze,Store,Retail Customer,2022-07-20
12,Sophie McCarthy,Dublin,Dublin,Silver,Mixed,Retail Customer,2024-04-09
13,Daniel Byrne,Dublin,Tallaght,Bronze,Online,Retail Customer,2020-02-13
14,Amelia Byrne,Meath,Navan,Silver,Online,Retail Customer,2023-06-15
15,Finn Moore,Meath,Navan,Bronze,Store,Retail Customer,2024-07-05
16,Emily Smith,Wicklow,Wicklow,Silver,Store,Retail Customer,2025-03-15
17,Rían Reilly,Clare,Ennis,Gold,Mixed,Retail Customer,2025-11-25
18,Aoife Kennedy,Kildare,Newbridge,Platinum,Online,Retail Customer,2024-08-21
19,Ava Murray,Waterford,Waterford,Silver,Mixed,Retail Customer,2020-01-25
20,Jack McCarthy,Cork,Cork,Bronze,Online,Retail Customer,2020-04-13
21,Grace Murphy,Wicklow,Bray,Bronze,Store,Wholesale Partner,2020-07-02
22,Daniel McCarthy,Dublin,Dublin,Gold,Online,Retail Customer,2020-03-22
23,Aoife Kelly,Cork,Cork,Gold,Mixed,Retail Customer,2025-05-31
24,Noah Lynch,Dublin,Tallaght,Gold,Online,Retail Customer,2023-05-06
25,Conor Gallagher,Kilkenny,Kilkenny,Silver,Store,Retail Customer,2025-08-26
26,Rían Reilly,Dublin,Tallaght,Silver,Online,Wholesale Partner,2020-05-14
27,Daniel Nolan,Waterford,Waterford,Gold,Store,Retail Customer,2020-06-29
28,Amelia Dunne,Cork,Cork,Silver,Store,Wholesale Partner,2025-04-02
29,Jack Dunne,Limerick,Limerick,Platinum,Mixed,Retail Customer,2023-11-21
30,Mia Fitzgerald,Clare,Ennis,Gold,Online,Retail Customer,2021-09-11
31,Isla Ryan,Dublin,Swords,Silver,Mixed,Retail Customer,2024-12-18
32,Ciara Lynch,Dublin,Dublin,Bronze,Mixed,Retail Customer,2023-01-12
33,Rían Doyle,Meath,Trim,Silver,Store,Retail Customer,2024-08-14
34,Finn Dunne,Dublin,Swords,Gold,Mixed,Retail Customer,2020-11-16
35,Ella McCarthy,Dublin,Swords,Silver,Mixed,Retail Customer,2021-12-11
36,Sarah Ryan,Dublin,Tallaght,Bronze,Mixed,Retail Customer,2023-07-09
37,Sarah Murphy,Dublin,Dublin,Silver,Online,Retail Customer,2025-01-05
38,Cillian Dunne,Waterford,Waterford,Silver,Online,Retail Customer,2022-06-19
39,Rían Quinn,Dublin,Dublin,Gold,Store,Retail Customer,2025-12-14
40,Lucy Murphy,Kildare,Naas,Gold,Mixed,Retail Customer,2023-09-30
41,Ella Kennedy,Kildare,Newbridge,Gold,Online,Retail Customer,2022-01-06
42,Ciara Reilly,Kilkenny,Kilkenny,Gold,Mixed,Wholesale Partner,2021-10-25
43,Finn Doyle,Galway,Galway,Bronze,Online,Retail Customer,2023-05-27
44,Noah Nolan,Clare,Ennis,Platinum,Mixed,Retail Customer,2023-12-01
45,Ciara Lynch,Dublin,Dublin,Silver,Online,Retail Customer,2022-06-17
46,Daniel Moore,Meath,Navan,Gold,Online,Retail Customer,2023-02-25
47,Noah Smith,Dublin,Dublin,Silver,Mixed,Wholesale Partner,2023-11-02
48,James Healy,Dublin,Tallaght,Bronze,Mixed,Retail Customer,2025-01-18
49,Conor Quinn,Dublin,Tallaght,Bronze,Mixed,Retail Customer,2022-01-22
50,Conor Nolan,Wicklow,Bray,Silver,Online,Wholesale Partner,2024-02-24
51,Michael Byrne,Kildare,Newbridge,Silver,Store,Retail Customer,2025-03-30
52,Daniel Nolan,Meath,Trim,Silver,Mixed,Retail Customer,2025-05-23
53,Emily Doyle,Kilkenny,Kilkenny,Gold,Store,Retail Customer,2024-06-22
54,Conor Gallagher,Kildare,Kildare,Bronze,Online,Retail Customer,2023-02-20
55,Isla Kennedy,Waterford,Waterford,Bronze,Online,Retail Customer,2020-05-15
56,James Murphy,Waterford,Waterford,Silver,Store,Retail Customer,2023-06-22
57,James Reilly,Cork,Cork,Gold,Store,Retail Customer,2025-12-06
58,Finn Murray,Dublin,Dublin,Silver,Store,Retail Customer,2022-12-22
59,Anna Kennedy,Dublin,Swords,Gold,Mixed,Retail Customer,2022-10-28
60,Sarah Kennedy,Wicklow,Bray,Gold,Store,Retail Customer,2025-08-21
61,Isla Reilly,Galway,Galway,Bronze,Mixed,Retail Customer,2023-09-08
62,Finn Gallagher,Dublin,Dublin,Silver,Online,Retail Customer,2020-09-30
63,Ciara Reilly,Dublin,Swords,Bronze,Online,Retail Customer,2021-09-11
64,Sophie Healy,Cork,Cork,Silver,Online,Retail Customer,2024-09-24
65,Rían Gallagher,Meath,Trim,Silver,Mixed,Distributor,2020-12-09
66,Emily Kelly,Dublin,Tallaght,Silver,Online,Retail Customer,2022-11-26
67,Mia Gallagher,Dublin,Dublin,Bronze,Store,Retail Customer,2024-11-06
68,Grace O'Brien,Kilkenny,Kilkenny,Bronze,Online,Retail Customer,2022-03-28
69,Cillian Fitzgerald,Meath,Trim,Gold,Mixed,Retail Customer,2021-04-13
70,Sarah Murphy,Dublin,Dublin,Gold,Online,Retail Customer,2022-06-21
71,Aoife O'Brien,Meath,Navan,Silver,Online,Retail Customer,2024-05-10
72,Anna Nolan,Meath,Navan,Platinum,Mixed,Retail Customer,2020-06-11
73,Mia O'Brien,Dublin,Swords,Silver,Mixed,Retail Customer,2023-01-21
74,Anna Kelly,Limerick,Limerick,Silver,Mixed,Retail Customer,2023-10-01
75,Isla McCarthy,Kilkenny,Kilkenny,Bronze,Online,Retail Customer,2020-12-27
76,Anna Reilly,Kildare,Newbridge,Silver,Online,Retail Customer,2022-07-03
77,Ciara O'Brien,Cork,Cork,Gold,Store,Retail Customer,2023-04-10
78,Cillian Dunne,Dublin,Dublin,Bronze,Online,Retail Customer,2024-06-13
79,Ciara Lynch,Kildare,Newbridge,Bronze,Online,Retail Customer,2023-05-28
80,Ciara McCarthy,Galway,Galway,Bronze,Mixed,Retail Customer,2021-02-06
81,Aoife Ryan,Kildare,Kildare,Silver,Online,Wholesale Partner,2025-12-15
82,Amelia McCarthy,Cork,Cork,Silver,Mixed,Retail Customer,2025-08-18
83,Anna Kennedy,Cork,Cork,Bronze,Mixed,Retail Customer,2025-07-13
84,Liam Doyle,Kildare,Naas,Gold,Online,Retail Customer,2025-11-16
85,Emily Byrne,Galway,Galway,Platinum,Mixed,Retail Customer,2021-08-09
86,Ava Smith,Kildare,Newbridge,Silver,Store,Wholesale Partner,2023-09-26
87,Sarah Lynch,Dublin,Dublin,Bronze,Store,Retail Customer,2023-12-14
88,Emily Walsh,Wicklow,Wicklow,Bronze,Online,Retail Customer,2022-12-16
89,Noah Ryan,Wicklow,Wicklow,Silver,Online,Retail Customer,2025-04-24
90,Anna Lynch,Kildare,Newbridge,Gold,Online,Retail Customer,2023-01-07
91,Chloe Ryan,Kildare,Newbridge,Bronze,Mixed,Retail Customer,2020-12-23
92,Rían Gallagher,Dublin,Tallaght,Platinum,Online,Retail Customer,2020-04-14
93,Mia Murphy,Meath,Navan,Bronze,Mixed,Retail Customer,2021-09-25
94,Anna Dunne,Dublin,Tallaght,Gold,Store,Retail Customer,2022-10-24
95,Grace Healy,Limerick,Limerick,Gold,Mixed,Retail Customer,2024-08-06
96,Ciara Kennedy,Meath,Trim,Gold,Store,Distributor,2023-11-10
97,Isla Dunne,Limerick,Limerick,Silver,Online,Distributor,2020-11-22
98,Aoife Kennedy,Meath,Navan,Silver,Online,Retail Customer,2020-09-27
99,Rían Dunne,Kilkenny,Kilkenny,Silver,Online,Retail Customer,2025-12-03
100,Isla Walsh,Wicklow,Wicklow,Bronze,Mixed,Distributor,2020-12-02
101,Lucy Reilly,Dublin,Swords,Gold,Mixed,Retail Customer,2022-05-27
102,Sophie Doyle,Kildare,Newbridge,Bronze,Mixed,Retail Customer,2024-08-05
103,Michael Lynch,Waterford,Waterford,Silver,Store,Retail Customer,2021-05-12
104,Ella Doyle,Meath,Trim,Gold,Online,Retail Customer,2020-05-21
105,Ciara Walsh,Kilkenny,Kilkenny,Silver,Mixed,Retail Customer,2024-12-27
106,Sophie Smith,Kilkenny,Kilkenny,Bronze,Store,Wholesale Partner,2020-03-23
107,James McCarthy,Kilkenny,Kilkenny,Bronze,Online,Retail Customer,2022-11-23
108,Conor Doyle,Dublin,Dublin,Bronze,Online,Retail Customer,2021-01-09
109,Noah McCarthy,Waterford,Waterford,Platinum,Online,Retail Customer,2023-08-31
110,Ella Dunne,Kilkenny,Kilkenny,Bronze,Online,Retail Customer,2022-12-14
111,Aoife Quinn,Waterford,Waterford,Platinum,Mixed,Retail Customer,2023-01-24
112,Conor O'Brien,Kilkenny,Kilkenny,Gold,Online,Retail Customer,2025-09-24
113,Jack Dunne,Cork,Cork,Bronze,Mixed,Retail Customer,2023-08-15
114,Aoife Smith,Waterford,Waterford,Bronze,Online,Distributor,2021-04-08
115,Sarah McCarthy,Dublin,Swords,Silver,Online,Wholesale Partner,2024-12-11
116,Finn Fitzgerald,Kilkenny,Kilkenny,Bronze,Store,Distributor,2021-04-02
117,Ella Healy,Clare,Ennis,Platinum,Online,Retail Customer,2025-09-20
118,Sarah Fitzgerald,Dublin,Tallaght,Gold,Online,Retail Customer,2023-06-12
119,Amelia Fitzgerald,Galway,Galway,Silver,Store,Retail Customer,2025-11-15
120,Ava Gallagher,Meath,Trim,Bronze,Online,Retail Customer,2022-09-09
121,Ava McCarthy,Galway,Galway,Gold,Online,Retail Customer,2024-04-19
122,James Kennedy,Cork,Cork,Bronze,Online,Retail Customer,2023-05-29
123,Grace Lynch,Meath,Navan,Bronze,Online,Retail Customer,2021-02-27
124,Finn O'Brien,Cork,Cork,Platinum,Mixed,Retail Customer,2024-12-10
125,Aoife O'Brien,Clare,Ennis,Gold,Online,Wholesale Partner,2023-12-11
126,James Dunne,Kildare,Naas,Silver,Online,Retail Customer,2025-05-01
127,Sarah Fitzgerald,Kildare,Kildare,Gold,Mixed,Retail Customer,2022-04-02
128,Rían Dunne,Kildare,Newbridge,Silver,Store,Retail Customer,2024-07-20
129,Aoife Murphy,Wicklow,Wicklow,Bronze,Online,Retail Customer,2024-06-08
130,Amelia Murphy,Limerick,Limerick,Bronze,Online,Retail Customer,2021-11-08
131,Lucy Dunne,Meath,Navan,Platinum,Online,Wholesale Partner,2022-03-10
132,Amelia McCarthy,Galway,Galway,Silver,Mixed,Retail Customer,2025-12-16
133,Amelia Murphy,Kildare,Naas,Silver,Online,Retail Customer,2024-07-20
134,Isla Quinn,Clare,Ennis,Bronze,Online,Retail Customer,2022-12-05
135,Ella O'Brien,Wicklow,Bray,Gold,Store,Retail Customer,2021-07-25
136,Lucy Nolan,Wicklow,Bray,Gold,Online,Wholesale Partner,2023-10-22
137,James Dunne,Dublin,Swords,Bronze,Mixed,Retail Customer,2023-01-29
138,Cillian Kelly,Galway,Galway,Bronze,Mixed,Retail Customer,2022-09-03
139,Grace Doyle,Waterford,Waterford,Gold,Online,Retail Customer,2022-12-09
140,Grace Quinn,Galway,Galway,Silver,Mixed,Retail Customer,2021-05-02
141,Emily Byrne,Waterford,Waterford,Silver,Online,Retail Customer,2020-06-20
142,Ciara Reilly,Dublin,Swords,Bronze,Mixed,Retail Customer,2023-06-21
143,Conor Byrne,Kilkenny,Kilkenny,Gold,Online,Retail Customer,2020-07-02
144,Liam McCarthy,Cork,Cork,Bronze,Mixed,Retail Customer,2020-09-22
145,Michael O'Brien,Cork,Cork,Platinum,Online,Retail Customer,2022-11-13
146,Amelia Ryan,Wicklow,Bray,Silver,Online,Retail Customer,2025-06-07
147,Ella Gallagher,Limerick,Limerick,Gold,Mixed,Distributor,2023-01-27
148,Michael Healy,Clare,Ennis,Bronze,Mixed,Retail Customer,2023-01-04
149,Cillian Kennedy,Dublin,Tallaght,Gold,Online,Retail Customer,2020-05-04
150,Liam Kennedy,Wicklow,Wicklow,Gold,Online,Retail Customer,2020-12-04
151,Lucy Doyle,Dublin,Tallaght,Silver,Online,Retail Customer,2021-10-29
152,Aoife McCarthy,Dublin,Tallaght,Gold,Online,Retail Customer,2025-10-16
153,Sophie Healy,Dublin,Tallaght,Silver,Online,Wholesale Partner,2023-07-19
154,Noah Murray,Meath,Trim,Bronze,Mixed,Wholesale Partner,2021-11-03
155,Isla Murray,Dublin,Tallaght,Platinum,Mixed,Retail Customer,2024-09-02
156,Ava Lynch,Dublin,Swords,Bronze,Mixed,Retail Customer,2021-10-01
157,Amelia Ryan,Kildare,Naas,Bronze,Store,Retail Customer,2024-08-18
158,Ava Fitzgerald,Clare,Ennis,Silver,Mixed,Retail Customer,2023-11-25
159,Mia Walsh,Clare,Ennis,Gold,Mixed,Retail Customer,2021-07-02
160,Michael Reilly,Waterford,Waterford,Bronze,Mixed,Retail Customer,2025-01-05
161,Mia Nolan,Galway,Galway,Platinum,Store,Retail Customer,2025-12-28
162,Conor Byrne,Galway,Galway,Bronze,Store,Retail Customer,2021-10-09
163,Conor Fitzgerald,Wicklow,Wicklow,Bronze,Online,Retail Customer,2021-10-29
164,Grace Murphy,Waterford,Waterford,Bronze,Mixed,Retail Customer,2022-05-30
165,Cillian Moore,Cork,Cork,Bronze,Online,Retail Customer,2022-10-18
166,Emily Lynch,Galway,Galway,Silver,Store,Retail Customer,2021-01-06
167,Sarah Murphy,Meath,Navan,Gold,Mixed,Wholesale Partner,2025-01-02
168,James McCarthy,Clare,Ennis,Silver,Online,Retail Customer,2021-02-21
169,Amelia Reilly,Cork,Cork,Bronze,Online,Retail Customer,2022-01-13
170,Ava Moore,Waterford,Waterford,Bronze,Mixed,Wholesale Partner,2021-05-07
171,James Kennedy,Cork,Cork,Silver,Online,Retail Customer,2024-07-08
172,Aoife McCarthy,Galway,Galway,Gold,Online,Retail Customer,2025-06-09
173,Amelia Reilly,Meath,Trim,Silver,Store,Retail Customer,2021-09-20
174,Mia Reilly,Limerick,Limerick,Bronze,Store,Wholesale Partner,2022-08-01
175,Aoife Fitzgerald,Galway,Galway,Gold,Store,Retail Customer,2025-08-14
176,Emily McCarthy,Dublin,Tallaght,Bronze,Mixed,Wholesale Partner,2020-01-16
177,Rían Lynch,Dublin,Tallaght,Gold,Online,Retail Customer,2022-05-25
178,Sarah Walsh,Cork,Cork,Silver,Store,Retail Customer,2024-08-08
179,Ciara Moore,Galway,Galway,Silver,Store,Retail Customer,2020-02-25
180,Jack Doyle,Galway,Galway,Bronze,Online,Retail Customer,2024-09-13
